"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","338","Можно создать заказ с разными значениями color — возвращается 201 и track","tests","2025-12-25","passed","2025-12-25","TestOrderCreate","Orders","",""
"","344","Можно создать заказ с разными значениями color — возвращается 201 и track","tests","2025-12-25","passed","2025-12-25","TestOrderCreate","Orders","",""
"","303","Курьер может залогиниться — возвращается 200 и id","tests","2025-12-25","passed","2025-12-25","TestCourierLogin","Courier","",""
"","304","Нельзя создать курьера без обязательного поля — возвращается 400","tests","2025-12-25","passed","2025-12-25","TestCourierCreate","Courier","",""
"","299","Можно создать заказ с разными значениями color — возвращается 201 и track","tests","2025-12-25","passed","2025-12-25","TestOrderCreate","Orders","",""
"","315","Нельзя залогиниться с неверным паролем — возвращается 404","tests","2025-12-25","passed","2025-12-25","TestCourierLogin","Courier","",""
"","1179","Можно создать курьера — возвращается 201 и ok=true","tests","2025-12-25","passed","2025-12-25","TestCourierCreate","Courier","",""
"","15268","Для логина нужно передать обязательные поля — иначе 400","tests","2025-12-25","skipped","2025-12-25","TestCourierLogin","Courier","",""
"","325","Можно создать заказ с разными значениями color — возвращается 201 и track","tests","2025-12-25","passed","2025-12-25","TestOrderCreate","Orders","",""
"","285","Нельзя залогиниться несуществующим пользователем — возвращается 404","tests","2025-12-25","passed","2025-12-25","TestCourierLogin","Courier","",""
"","11136","Можно получить список заказов — возвращается 200 и orders (list)","tests","2025-12-25","passed","2025-12-25","TestOrdersList","Orders","",""
"","285","Для логина нужно передать обязательные поля — иначе 400","tests","2025-12-25","passed","2025-12-25","TestCourierLogin","Courier","",""
"","1335","Нельзя создать двух одинаковых курьеров — возвращается 409","tests","2025-12-25","passed","2025-12-25","TestCourierCreate","Courier","",""
"","284","Нельзя создать курьера без обязательного поля — возвращается 400","tests","2025-12-25","passed","2025-12-25","TestCourierCreate","Courier","",""
"","299","Можно создать заказ с разными значениями color — возвращается 201 и track","tests","2025-12-25","passed","2025-12-25","TestOrderCreate","Orders","",""
